,sensitivity,x_inter,y_inter
count,10.0,10.0,10.0
mean,0.6120012590462836,6.38344211761161,0.5109209937551853
std,0.1845035065455325,2.6084675064952814,0.06221553344837765
min,0.3302548132455009,2.09386511971904,0.41816552166436183
25%,0.4962003612914912,4.642049058628514,0.45514285522394227
50%,0.640335489722561,6.611555006520264,0.5224699668680606
75%,0.756183720151349,8.193624561418089,0.5471233546470945
max,0.8512099826279591,10.548650825054365,0.5949103717509916
