,pitch_initial,pitch_pre_bout,pitch_peak,pitch_post_bout,pitch_end,pitch_max_angvel,traj_peak,spd_peak,rot_total,rot_steering,rot_righting,bout_displ,atk_ang,traj_deviation
count,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0,68305.0
mean,6.836805995812919,7.897896196574241,9.139655137471584,10.060990651372588,10.28167113782294,8.611155460361646,12.291958793271949,10.41616738315668,3.224184655559593,2.3028491416587284,0.9213355139008814,1.1168807912251233,3.152303655800577,5.4551527974592435
std,19.132967260007458,19.791419110854264,18.511696865927895,15.962688483915082,15.886850346472844,19.7279244515849,27.52162822090253,3.8474673405886,8.755659796696113,7.508312325473553,3.491464556676382,0.6301482162734462,10.783617177551076,14.527168935512108
min,-89.146014,-89.557724,-88.191508,-86.486828,-86.046445,-89.981008,-89.96202140362502,5.000245925886051,-49.281744999999994,-42.01779199999999,-18.472697000000004,0.0,-119.23423891853528,-132.24568891853528
25%,-8.634609,-8.456085,-5.407343,-1.824822,-1.471711,-7.511048,-11.36839198027033,7.591410916050318,-2.034351000000001,-1.8865380000000016,-1.681719000000001,0.685495261275051,-4.984242787968916,-4.002432489898988
50%,5.216962,7.816405,9.74469,10.570417,10.853549,9.125534,14.69239894999885,9.74658607591679,3.1235809999999997,2.0411409999999997,0.7040940000000004,1.0591208688379954,4.097026162735624,4.993755418140985
75%,22.856659,24.329767,23.755179,22.030444,22.117652,24.619708,35.73418920878171,12.354550142343427,8.755836000000002,6.5485489999999995,3.3989249999999998,1.468237238613335,11.171671728432568,14.931543830673231
max,89.967748,87.531538,88.941524,89.993624,89.313932,89.662074,89.79677856195923,50.20264590790841,49.131265,43.067506,19.345957,6.379853768713547,99.63424384556717,99.58076984556718
IQR,31.491267999999998,32.785852,29.162522,23.855266,23.589363,32.130756,47.10258118905204,4.763139226293109,10.790187000000003,8.435087000000001,5.080644000000001,0.7827419773382841,16.155914516401484,18.93397632057222
