,k,x_pos,min,height,slope
count,10.0,10.0,10.0,10.0,10.0
mean,0.847918885726814,0.14646063528501607,-4.072336016091072,16.467369920834194,3.413744106279536
std,0.27860634555569586,0.2831212063329811,1.3831791374622315,2.305973851329867,0.8608706700725437
min,0.5458308248758703,1.0639059731785292e-39,-6.29346899538899,14.111541795294322,2.6186379064591327
25%,0.7105349176908611,0.00303040549952044,-5.092225363320157,14.841781257437543,2.9523723729987985
50%,0.7907027276751102,0.02984070549230637,-3.876063594029021,15.559683481767134,3.1498428477687486
75%,0.8586266047853279,0.14915028874932443,-2.7676837859911583,17.695416291428277,3.697970318202775
max,1.5756803805731525,0.9220206515103152,-2.5602486880119026,21.162485731335966,5.558819886620826
