,propBoutIEI,propBoutIEI_pitch,boutFreq
count,60636.0,60636.0,60636.0
mean,3.159072267697347,8.749177861362421,0.6968838764909233
std,4.099764360142055,17.725378482259163,0.5466630609174854
min,0.21084337349397592,-85.51189447169813,0.006998903786153976
25%,1.0240963855421688,-5.056209918679826,0.2752902155887231
50%,1.7771084337349397,8.76161161573843,0.5627118644067797
75%,3.6325301204819276,22.781183648796233,0.9764705882352941
max,142.87951807228916,89.504587,4.742857142857143
