,sensitivity,x_inter,y_inter
count,10.0,10.0,10.0
mean,1.0574433146959983,8.19937724031379,0.5109895655165192
std,0.2345415168186555,1.2076591892344863,0.07869289491006372
min,0.6495061377518382,5.895100843324903,0.38457687228142323
25%,0.8973456696198119,7.455556299467904,0.46537569152749164
50%,1.0671128028520194,8.583786747538227,0.4813719519903181
75%,1.2112340470212983,8.731236700832197,0.5843080602036428
max,1.4578624166725966,10.104472382431904,0.6263054178299869
