,pitch_initial,pitch_pre_bout,pitch_peak,pitch_post_bout,pitch_end,pitch_max_angvel,traj_peak,spd_peak,rot_total,rot_steering,rot_righting,bout_displ,atk_ang,traj_deviation
count,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0,65157.0
mean,3.4964103459029494,3.897091124882977,5.4369781311601235,7.338426751661424,7.906060810104832,4.489680297113125,7.847866992590861,11.414990604720758,3.842016405758374,1.9405677852571475,1.9014486205012597,1.3458690056359177,2.410888861430633,4.351456646687837
std,12.417324133855665,12.990923316046082,12.669237259742264,10.745778320831272,10.52180931585174,13.262459028424754,22.894995185798585,4.205072241724821,7.05141476118761,6.313454582915429,3.0643326771198813,0.6995917966207017,12.518330522729366,16.389362394911753
min,-80.106708,-87.61677,-83.764167,-80.118267,-79.42423,-89.564402,-89.86934622644226,5.000166967049283,-38.953017,-33.715112,-15.438120999999999,0.0,-107.245714220957,-111.79379152876567
25%,-5.791997,-6.243071,-4.625372,-0.917377,-0.086402,-6.114953,-10.699736336744444,8.227456250964195,-0.42843400000000287,-1.7269119999999987,-0.32758100000000034,0.8722577583649507,-5.606205822450785,-6.039195319139781
50%,0.538967,1.386319,4.360265,6.878242,7.560159,2.808713,5.983867808972748,10.944351349099799,3.6593210000000003,1.256391,2.053592,1.3283125628490948,1.6527293448890974,2.7692006869960677
75%,12.844401,13.926121,15.106831,15.132679,15.459357,14.797411,26.356962627620344,13.89063388125053,8.148420999999999,5.196738999999999,3.949885,1.7908893778499275,10.242698080485145,13.665638588566466
max,75.334215,75.621647,74.862393,75.23939,75.731672,75.832043,89.84714451118165,39.92061243291702,38.869394,33.15992299999999,19.113917999999998,5.3642114555914775,95.676842906186,103.654802906186
IQR,18.636398,20.169192,19.732203,16.050055999999998,15.545759,20.912364,37.056698964364784,5.663177630286334,8.576855000000002,6.923650999999998,4.277466,0.9186316194849768,15.84890390293593,19.704833907706245
