,righting_gain,steering_gain,set_point
count,10.0,10.0,10.0
mean,0.18096380094331646,0.5061800334510613,13.599953783108663
std,0.015552824045789764,0.04550878644409425,1.780117192426646
min,0.1617935251102523,0.43175734960469336,10.575659209761048
25%,0.1697986962148145,0.4736827237457062,13.041799419864287
50%,0.17793907473122644,0.5072613528470088,14.114292159136847
75%,0.18737771430102307,0.5248229239533285,14.462718492787701
max,0.20927904191306146,0.5784281939305966,15.971125056244647
