,righting_gain,steering_gain,set_point
count,10.0,10.0,10.0
mean,0.15261695580679424,0.6412064005183933,12.99883402818062
std,0.01674483199007324,0.03577468120379059,2.1002299597008838
min,0.12929320396389002,0.6018592607733092,10.689129344192475
25%,0.1368174814353256,0.6109389636848709,12.039724670002217
50%,0.15460017644435176,0.639528338684065,12.293063469567798
75%,0.1642783105388544,0.6605744744839499,13.273250339075702
max,0.17464395279387954,0.7122525340213576,17.639390910552883
