,k,x_pos,min,height,slope
count,10.0,10.0,10.0,10.0,10.0
mean,0.5759079151847786,0.30623972942241956,-9.541047361368168,25.145139598236902,3.5470831761723476
std,0.2827803167672978,0.43081306967917693,2.7773116402929423,4.684926018621768,1.9825845718342345
min,0.14342946175693555,7.140592634171429e-38,-15.309869655086409,20.493004214609442,1.256804286914723
25%,0.43377008008400986,4.529835524989253e-14,-10.486536605566204,22.933928761854908,2.6042579172772387
50%,0.5197240518460691,0.03992958922616726,-8.886380010074618,23.588231624169502,3.0028928632764313
75%,0.6151852408150319,0.5894713736683983,-7.518580616487111,25.73962943528408,3.4971430772615815
max,1.0545411644057074,1.259880778405187,-6.716271611834933,35.05010118617279,8.329797428901472
