,sensitivity,x_inter,y_inter
count,10.0,10.0,10.0
mean,1.306406668346249,6.933771762776173,0.46968559921377306
std,0.33598765916787404,1.7419071483251742,0.1102542572134091
min,0.8083364794271347,4.415997217507529,0.3563360328810658
25%,1.0594221779296136,5.721909485065978,0.3875375943374721
50%,1.2895250410129937,6.608259661272395,0.4476372716206943
75%,1.4207301307230658,8.3057953569959,0.5298486957753848
max,1.8559285652312807,9.537640914894236,0.6846420932629723
