,IBIpitch_mean_byRepeat,IBIpitch_std_byRepeat
count,10.0,10.0
mean,8.555605321701965,17.484011932529757
std,1.9264885159759872,1.598585904270446
min,5.326697641071255,15.45801233261458
25%,6.916078316912942,16.075722096062766
50%,9.143108070836742,17.546301339584417
75%,9.66341894759507,18.327064252522167
max,11.324571341620457,20.32108007091609
