,k,x_pos,min,height,slope
count,10.0,10.0,10.0,10.0,10.0
mean,0.9297171015772372,0.07088107062855535,-2.591566834793469,10.28371503662402,2.27354590138678
std,0.43066554299435905,0.11268950289138858,0.8879484172316681,1.7778017691456278,0.7615832336075957
min,0.48930633185941025,2.27893752823599e-31,-3.703877934293996,7.971043206641015,1.2964985551619517
25%,0.6354865644395996,3.830893091463065e-15,-3.085997116962699,9.163431906470336,1.8809536301367913
50%,0.8837433941571573,1.993596532116647e-13,-2.663024497001907,10.427678001824628,2.1045952767649903
75%,1.0418053614383267,0.12880146066268508,-2.3266583497683357,10.779856418637419,2.4964295581357345
max,1.9611624461817387,0.27038353799172615,-0.8517488359468349,14.094306041612167,3.9979779449783854
