,IBIpitch_mean_byRepeat,IBIpitch_std_byRepeat
count,10.0,10.0
mean,7.956598908316346,12.661156522745372
std,2.3326076238486606,1.7962577093928858
min,4.493326216815704,9.930022839703364
25%,6.535999055014324,11.593558731888459
50%,8.202766130081047,12.603760273682518
75%,9.354315201124924,14.218199623181821
max,12.037130345818156,14.997274404728616
