,righting_gain,steering_gain,set_point
count,10.0,10.0,10.0
mean,0.17959895805291848,0.6673166407716662,19.47019917933993
std,0.015537832320788937,0.0378597297503969,2.2834556557422268
min,0.15555368259626534,0.6099602879043303,17.194000699504212
25%,0.16552912198043912,0.6453163033696192,18.019173077445743
50%,0.18203568742815054,0.6649433137649536,18.856800171267913
75%,0.1929935061363192,0.691366094861793,19.846381316160347
max,0.1996198436181339,0.734700642068319,23.912224212492603
