,IBIpitch_mean_byRepeat,IBIpitch_std_byRepeat
count,10.0,10.0
mean,5.788671467966704,11.23215825080393
std,1.6535235297290283,1.2841469066460502
min,3.4248191533258323,8.862455356435884
25%,4.611621649444663,10.551824990781462
50%,5.693324088555885,11.363618421048201
75%,6.816553615662661,11.93899872542677
max,8.26173819208596,13.529248469161503
